prefix	givenName	middleName	familyName	suffix	nickname	canSelfEdit	dateOfBirth	gender	institutionId	barcode	idAtSource	sourceSystem	borrowerCategory	circRegistrationDate	oclcExpirationDate	homeBranch	primaryStreetAddressLine1	primaryStreetAddressLine2	primaryCityOrLocality	primaryStateOrProvince	primaryPostalCode	primaryCountry	primaryPhone	secondaryStreetAddressLine1	secondaryStreetAddressLine2	secondaryCityOrLocality	secondaryStateOrProvince	secondaryPostalCode	secondaryCountry	secondaryPhone	emailAddress	mobilePhone	notificationEmail	notificationTextPhone	patronNotes	photoURL	customdata1	customdata2	customdata3	customdata4	username	illId	illApprovalStatus	illPatronType	illPickupLocation
	ILL		Agnes Scott College, McCain Library							EGA			ILL	2016-10-11			141 E. College Ave		Decatur	GA	30030-3770																 none 								
	ILL		ALAMEDA FREE LIBRARY, California							JQB			ILL	2017-06-21																							 none 								
	ILL		Albany Public Library NY							XFN			ILL	2011-10-11																							 none 								
	ILL		Alexander Mitchell Library							AML			ILL	2010-02-18																							 none 								
	ILL		ALGONGUIN AREA PUBLIC LIBRARY, IL							GK5			ILL	2017-07-28																							 none 								
	ILL		Altoona Area Public Library - ILL							AOP			ILL	2016-03-09			1600 5th Ave		Altoona	PA	16602																 none 								
	ILL		ANTIOCH UNIVERSITY, NH - ILL							ANTCH			ILL	2016-04-29			library - 40 Avon St.		Keene	NH	03431-3516																 none 								
	ILL		Bee Cave Public Library, TX							BCPCP			ILL	2016-09-27			4000 Galleria Pkwy.		Bee Cave	Ca	78738																 none 								
	ILL		Bellarmine University Library - Louisville, KY 40205							KBC			ILL	2011-02-01																							 none 								
	ILL		Bellevue Public Library							BLL			ILL	2016-07-15			1003 Lincoln Road		Bellevue	NE	68005										illrequest@bellevue.net						 none 								
	ILL		BEMIDJI STATE UNIVERSITY, Minnesota							MNB			ILL	2017-03-15																							 none 								
	ILL		BEREA COLLEGE  KY							KBE			ILL	2004-08-11																							 none 								
	ILL		Bland Memorial Library, NY - ILL							VYM			ILL	2016-03-24			300 Bercarrota Blvd.		Bradenton	FL	34205																 none 								
	ILL		Bloomingdale Public Library IL							JOZ			ILL	2011-10-04																							 none 								
	ILL		Bonneville Power Admin. Library-1							BVA			ILL	2010-02-18																							 none 								
	ILL		Bortz Library ILL							VHS			ILL	2016-02-05			257 Via Sacra, P.O. Box 7		Hampden-Sydney	VA	23943																 none 								
	ILL		Bard College NY							VVP			ILL	2011-10-05																							 none 								
	ILL		Brevard County Libraries							BCL			ILL	2011-11-16																							 								
	ILL		Bridgewater State University - ILL							BDR			ILL	2016-04-11			10 Shaw Rd.		Bridgewater	MA	02325																 none 								
	ILL		Brookfield Public Library IL							TU7			ILL	2011-10-25																							 none 								
	ILL		Brownsville Public Library							TS4			ILL	2010-03-26																							 none 								
	ILL		Bryan College TN							TDT			ILL	2011-11-01																							 none 								
	ILL		Catholic Univ of America DC							DCU			ILL	2011-11-15																							 none 								
	ILL		CHAPMAN UNIVERSITY, CA							CCX			ILL	2017-06-09																							 none 								
	ILL		CHARLESTON AFB FL 4418  BASE LIBRARY SC							BMM			ILL	2004-07-14																							 none 								
	ILL		Chattahoochee Valley Libraries GA							GCV			ILL	2011-09-14																							 none 								
	ILL		Cleveland State, OH - ILL							CSU			ILL	2016-03-30			Interlibrary Loan, RT 122 - 1860 East 22nd Street		Cleveland	OH	44115-2214																 none 								
	ILL		College of the Holy Cross							HCD			ILL	2016-10-26			1 College Street		Worcester	MA	01610-2395																 none 								
	ILL		COLUSA COUNTY LIBRARY, California							CUP			ILL	2017-03-15																							 none 								
	ILL		Community College of Phila PA							PDC			ILL	2011-10-28																							 none 								
	ILL		Concordia College Library - Bronxville, NY							NYA			ILL	2010-10-20																															
	ILL		Concordia University, CA - ILL							C5U			ILL	2016-03-24			ILL Dept. - 1530 Concordia West		Irvine	CA	92612																 none 								
	ILL		Cook Memorial Library - Libertyville, IL 60048							JBI			ILL	2011-02-01																							 none 								
	ILL		Coronado Public Library							CNP			ILL	2010-03-10																							 none 								
	ILL		Corrigan Library, Yonkers NY - ILL							ZSN			ILL	2016-02-23			201 Seminary Avenue		Yonkers	NY	10704																 none 								
